Glucose,File
6.6,arm-20210623-0616Column 1_044005_20210623_062005.csv
6.9,arm-20210623-0721Column 1_044014_20210623_072253.csv
6.9,arm-20210623-0816Column 1_044022_20210623_081711.csv
4.9,arm-20210623-1018Column 1_044028_20210623_101942.csv
6.1,arm-20210623-1127Column 1_044035_20210623_112941.csv
5.9,arm-20210623-1216Column 1_044041_20210623_121817.csv
10.2,arm-20210623-1330Column 1_044048_20210623_133018.csv
10.1,arm-20210623-1430Column 1_044054_20210623_142909.csv
5.4,arm-20210623-1601Column 1_044060_20210623_160440.csv
5.3,arm-20210623-1700Column 1_044066_20210623_164908.csv
